id,movie_id,title,imdb_index,kind_id,production_year,phonetic_code,episode_of_id,season_nr,episode_nr,note,md5sum
47404,2890629,Tonight Starring Steve Allen,,2,1953,T5232,,,,(USA) (second season title),768daf5643ec7cabe15d8ae962c5e9dc
47405,2890629,Tonight,,2,1953,T523,,,,(USA) (syndication title),0745d75c21bf20d22844764f2be78714
47781,2908513,Town and Country Jamboree,,2,1956,T5325,,,,(USA) (third season title),fe81753cf504899346d565b6faf32fb0
47849,2913963,Trapped: Tales of the Supernatural,,2,1951,T6134,,,,(USA) (alternative title),00fae4e035a894fd5077f51d2f47a426
47891,2916735,Federal Men,,2,1950,F3645,,,,(USA) (video title),ed6bf2aa48f4aa3fca8070b5c01eb5b9
47892,2916735,Your Treasury Men in Action,,2,1950,Y6362,,,,,be63756687c05ae5cdbf1073516ece10
47907,2917774,36 Chandelles,,2,1952,C5342,,,,(alternative title),09c378fbe06aabc355707f374067d25d
48002,2924726,Im letzten Augenblick,,2,1962,I5432,,,,(West Germany),2b6a33899ad24eacd91ee10139285efa
48064,2927073,The All New Truth and Consequences,,2,1987,A4536,,,,(USA) (new title),cfaa2a7ef65ae1a56790a5df12dc1e5a
48065,2927073,The New Truth and Consequences,,2,1977,N3635,,,,(USA) (new title),af759ef29faac472945c870b4017326f
48242,2931369,Women's Show,,2,1959,W52,,,,(Australia) (new title),a4c218f5a95bd7622f85300e1189252c
48275,2932616,Re-Turn It Up!,,2,1953,R3653,,,,(UK) (second season title),1a5e04c891dc37c5285bdf5342f1354b
48321,2934965,Don McNeill's TV Club,,2,1950,D5254,,,,(USA) (complete title),21b4d269e68ae6b4c4625bac48895107
48333,2936146,Recital Hall,,2,1951,R234,,,,,2703d425999b444f3d456d39d7afb757
48334,2936271,Paul Whiteman's TV Teen Club,,2,1949,P4352,,,,,ae7ff8346f7af8bf9a55943243481972
48890,2967491,Paul Coates' Unit One,,2,1956,P4232,,,,(USA) (complete title),651b55eff49e41a3f962649a45561200
48975,2971056,Abendgruß,,2,1958,A1532,,,,(East Germany),269172428854a9d2c71ad171cc8d9e3b
48976,2971056,Das Sandmännchen,,2,1958,S5352,,,,(East Germany),c212513add72bc5029dbcaa517db4726
48977,2971056,Sandmann,,2,1958,S535,,,,(East Germany),95907de990a7ec74da7801c477ff2f70
48990,2971252,Unsere Nachbarn heute abend: Familie Schölermann,,2,1954,U5265,,,,,827ea7a40f4a37af0043d62300914ca5
48991,2971350,Schölermanns versammeln sich erneut,,7,,S2465,48990,1,1,,d63b4b47936eecb0e99c7b0232852010
49176,2984436,The Jane Froman Show,,2,1953,J5165,,,,(USA) (new title),4cbc3e436f2d790b91f14cd6eb7c7b32
49278,2992588,Val Parnell's Variety Startime,,2,1956,V4165,,,,(UK) (alternative title),07b491fade41daaf997451cabfc7709c
49279,2992603,Sunday Night at the London Palladium,,2,1955,S5352,,,,(UK) (short title),6ef4a05359b081a4f2ce573ad3c15761
49311,2995472,John Conte's Little Show,,2,1950,J5253,,,,,acd6973aefef7afe6ed9891ae04dec8c
49312,2995472,The Little Show,,2,1950,L342,,,,,f263f0b28df7db53faa4a005b8c7d435
49348,2996986,NBC Playhouse,,2,1948,N1214,,,,,1fc9d6ada6e792dca566527f00eea9a1
49349,2996986,The Players,,2,1948,P462,,,,,26341e659c0e86435ccc3601691a345c
49485,3013493,Bonny Maid Versatile Varieties,,2,1949,B5316,,,,,a43ac53ac514858682b8d436592ed9a7
49549,3019110,The Victor Borge Show,,2,1956,V2361,,,,(USA) (alternative title),b98787e0f82a016ed077e25b5dcab1f4
49550,3019110,Victor Borge - Comedy in Music,,2,1977,V2361,,,,(West Germany) (imdb display title),f1f068b13821f6ccc9edc76fa6744304
49951,3047191,Carovane verso il west,,2,1957,C6151,,,,(Italy),2ad6dd850d68f415294882544d11cc57
49952,3047191,"Major Adams, Trail Master",,2,1957,M2635,,,,,0e0477d550f3c390f142849d2546e4e9
50062,3052034,Der Kopfgeldjäger,,2,1979,K1243,,,,(West Germany),f6f1280bf5ce6a2a85191851e850ba8b
50063,3052034,Der Kopfgeldjäger,,2,1991,K1243,,,,(Germany) (imdb display title),b44a69f555c72bf43d733b5dc10a4ea3
50064,3052034,Josh,,2,1979,J2,,,,(West Germany),a34c640519c192015254bb6223f74973
50065,3052034,Ricercato vivo o morto,,2,1958,R2623,,,,(Italy),dd348abc42091d2745dcfe230e6ff32e
546672,3052034,Josh,,2,1979,J2,,,,(West Germany),a34c640519c192015254bb6223f74973
546673,3052034,Der Kopfgeldjäger,,2,1979,K1243,,,,(West Germany),f6f1280bf5ce6a2a85191851e850ba8b
50097,3054711,Ja oder Nein - Ein psychologisches Extemporale mit sieben unbekannten Gästen,,2,1955,J3651,,,,(West Germany) (première title),e3905601d8743f2cce2ca41a3f0a0047
50098,3054711,Was bin ich?,,2,1955,W2152,,,,(West Germany) (new title),a3dd04706fdb95cf7647d16607d8c186
50099,3055509,Was war los? - Fragen und Antworten aus fotografierter Zeitgeschichte,,2,1957,W2642,,,,(West Germany) (alternative title),94cfd465a1794f14eaad865e63874539
50125,3057628,Mr. Wizard,,2,1951,M6263,,,,(USA) (new title),9608027c822bca3fec4e76835ef97e3d
50208,3065868,Saturday Serial: Web,,2,1957,S3632,,,,(UK) (alternative title),b8bdc8833530a4c38b5bc5744cd13747
50282,3072930,Wer gegen wen - ferngesehen,,2,1954,W6251,,,,(West Germany) (new title),0e947b0b8cf512c5fc84ad9a4e3e8f86
50283,3073016,"Wer will, der kann! - Die große Talentprobe für jedermann",,2,1953,W6436,,,,(West Germany) (long title),f212fac54218d92eadbf2413d977e3a2
50290,3073454,The West Point Story,,2,1956,W2315,,,,,00f0352758b409241ab322739399be1e
50295,3073454,West Point,,2,1956,W2315,,,,,d7a688ba4be2d8f560f31107a3495093
50292,3073477,Country Boy,,7,,C5361,50295,1,16,,5b2c4b1df7818ca1b6642fbb751d211d
50294,3073484,The Harder Right,,7,,H6362,50295,1,4,,a9c1242d5c8c131ee291650a023ba28c
